,AlCo1.5CrCu0.5FeNi,FCC+BCC,[59],5,-7.8,5.8,3,2,7.7,1.9,0.6,4.5
,AlCo0.5CrCuFeNi,FCC+BCC,[46],5,-4.5,6,5.1,1,7.7,1.8,0.6,4.6
,AlCoCr0.5CuFeNi,FCC+BCC,[46],5.1,-5,5.6,4.5,1,8,1.9,0.6,4.7
,AlCoCrCu0.5FeNi,BCC,[46],5.1,-7.9,5.9,3,1.8,7.5,1.9,0.6,4.7
,AlCoCrCuFe0.5Ni,FCC+BCC,[46],5.1,-5.6,6,4.1,1.1,7.8,1.8,0.7,4.7
,AlCoCrCuFeNi0.5,FCC+BCC,[46],4.9,-3.9,5.8,5.9,1,7.6,1.8,0.6,4.6
,AlCoCrCu0.25FeNi,BCC,[22],5.2,-9.9,6,2.3,3,7.4,2,0.7,4.9
,AlCo0.5CrCu0.5FeNi,FCC+BCC,[59],5.2,-7.9,6.1,2.9,1.6,7.4,1.9,0.7,5
,AlCoCr0.5Cu0.5FeNi,FCC+BCC,[59],5.3,-8.3,5.8,2.7,1.6,7.7,2,0.7,5.1
,AlCoCrCu0.5Fe0.5Ni,FCC+BCC,[59],5.3,-8.9,6.2,2.6,1.7,7.5,1.9,0.7,5
,AlCoCrCu0.5FeNi0.5,FCC+BCC,[59],5.1,-7.3,5.9,3.2,1.6,7.3,1.9,0.7,5
,Al1.3CoCrCuFeNi,FCC+BCC,[1],5.2,-6.2,6,3.7,1.1,7.6,1.9,0.7,5.1
,Al1.5CoCrCuFeNi,FCC+BCC,[1],5.4,-7.1,6.1,3.2,1.1,7.5,1.9,0.8,5.4
,Al1.6CoCrCuFeNi,FCC+FCC+B2,[14],5.5,-7.8,6.2,2.8,1.2,7.4,1.9,0.8,5.6
,Al1.5CoCrCu0.5FeNi,FCC+BCC,[59],5.6,-10.1,6.2,2.2,1.9,7.2,2,0.8,5.8
,Al1.8CoCrCuFeNi,FCC+BCC,[1],5.6,-8.1,6.2,2.7,1.2,7.3,2,0.8,5.9
,Al2CoCrCuFeNi,FCC+FCC+B2/FCC+BCC,[14]/[1],5.8,-9,6.3,2.4,1.3,7.1,2,0.9,6.1
,Al2CoCrCu0.5FeNi,FCC+BCC,[59],5.9,-11.6,6.4,1.8,1.9,6.8,2.1,0.9,6.6
,Al2.3CoCrCuFeNi,FCC+BCC+B2,[1],5.9,-9.4,6.4,2.2,1.2,7,2,0.9,6.5
,Al2.5CoCrCuFeNi,FCC+BCC+B2,[1],6,-9.8,6.4,2.1,1.2,6.9,2.1,1,6.7
,Al2.8CoCrCuFeNi,BCC,[1],6,-10.3,6.5,1.9,1.3,6.7,2.1,1,6.9
,Al3CoCrCuFeNi,BCC/FCC+FCC+B2,[1]/[14],6.1,-10.6,6.5,1.8,1.3,6.6,2.1,1.1,7
,Al3.25CoCrCuFeNi,FCC+FCC+B2,[14],6.1,-10.8,6.5,1.7,1.3,6.5,2.2,1.1,7.2
AlCoCrCuFeNiSi,AlCoCrCuFeNiSi,FCC+BCC,[65],4.5,-18.9,6,1.4,1.3,7.3,2.1,0.7,4.8
,AlCoCrCu0.5FeNiSi,BMG,[66],4.7,-22.6,6.2,1.2,2.1,7,2.2,0.7,5.1
AlCoCrCuFeNiTi,Al0.25CoCrCu0.75FeNiTi0.5,FCC,[58],5.1,-7.3,8.3,3.7,1.4,8,1.7,0.7,3
,Al0.5CoCrCuFeNiTi2,FCC+BCC+comp.,[64],6.8,-16.6,11.8,1.6,1.5,7.1,1.8,1.2,4.1
,Al0.5CoCrCuFeNiTi1.4,FCC+BCC+comp.,[64],6.4,-14,10.8,1.9,1.4,7.4,1.8,1.1,4
,Al0.5CoCrCuFeNiTi1.6,FCC+BCC+comp.,[64],6.6,-15,11.2,1.8,1.4,7.3,1.8,1.1,4.1
,Al0.5CoCrCuFeNiTi1.8,FCC+BCC+comp.,[64],6.7,-15.9,11.5,1.7,1.5,7.2,1.8,1.2,4.1
,Al0.5CoCrCuFeNiTi1.2,FCC+BCC+sigma,[64],6.3,-12.9,10.4,2.1,1.3,7.5,1.8,1,3.9
,Al0.5CoCrCuFeNiTi,FCC+BCC+sigma,[64],6.1,-11.6,9.9,2.3,1.3,7.6,1.8,0.9,3.8
,Al0.5CoCrCuFeNiTi0.6,FCC+BCC,[64],5.5,-8.4,8.6,3.2,1.2,7.9,1.8,0.8,3.6
